mun_code,mun_name,efficient_measure,wellfare_measure,Opportunity_measure,Province
KZN433,Greater Kokstad,0.9995571757,0.538938755,0.5000948587,KwaZulu-Natal
KZN434,Ubuhlebezwe,0.9999505613,0.129693148,0.4466285146,KwaZulu-Natal
KZN435,Umzimkhulu,0.9998075662,0.164096014,0.3281299777,KwaZulu-Natal
LIM331,Greater Giyani,0.9997415526,0.190041147,0.2800759814,Limpopo
LIM332,Greater Letaba,0.9983600024,0.212933092,0.3881273724,Limpopo
LIM333,Greater Tzaneen,0.9995336951,0.270043402,0.3717679586,Limpopo
LIM334,Ba-Phalaborwa,0.9992491703,0.466992056,0.3372239387,Limpopo
LIM335,Maruleng,0.9993186638,0.188822688,0.3570530551,Limpopo
LIM341,Musina,0.9993720304,0.548149806,0.6740878169,Limpopo
LIM342,Mutale,0.9992615856,0.115007101,0.2804949912,Limpopo
LIM343,Thulamela,0.9998778978,0.239445889,0.2929163215,Limpopo
LIM344,Makhado,0.9992934428,0.227599913,0.3662920283,Limpopo
LIM351,Blouberg,0.9993369468,0.196902993,0.4180454021,Limpopo
LIM352,Aganang,0.9994641921,0.303450573,0.2460638776,Limpopo
LIM353,Molemole,0.9995549223,0.359514975,0.3395085803,Limpopo
LIM354,Polokwane,0.9991441055,0.489700904,0.4130004262,Limpopo
LIM355,Lepele-Nkumpi,0.9988990269,0.320057987,0.2526250772,Limpopo
LIM361,Thabazimbi,0.9967059623,0.554204282,0.5953475014,Limpopo
LIM362,Lephalale,0.9996223145,0.427335483,0.5993831391,Limpopo
LIM364,Mookgopong,0.999406442,0.611795979,0.5981657609,Limpopo
LIM365,Modimolle,0.999436008,0.57010887,0.5824901012,Limpopo
LIM366,Bela-Bela,0.9995187258,0.606324297,0.5487356322,Limpopo
LIM367,Mogalakwena,0.9994705385,0.355437846,0.3407602506,Limpopo
LIM471,Ephraim Mogale,0.9982043746,0.298786259,0.405666452,Limpopo
LIM472,Elias Motsoaledi,0.996982694,0.305943266,0.3568949772,Limpopo
LIM473,Makhuduthamaga,0.9997318532,0.205748266,0.18165036,Limpopo
LIM474,Fetakgomo,0.9997925184,0.220378493,0.1662895928,Limpopo
LIM475,Greater Tubatse,0.9979169971,0.214294231,0.2495827571,Limpopo
MAN,Mangaung,0.9991138341,0.633151152,0.4687724197,Free State
MP301,Albert Luthuli,0.9986071267,0.353657969,0.4111993314,Mpumalanga
MP302,Msukaligwa,0.9989925618,0.513021248,0.5238702624,Mpumalanga
MP303,Mkhondo,0.9988618796,0.336702693,0.4211782576,Mpumalanga
MP304,Pixley Ka Seme,0.9990538714,0.487936867,0.4074345806,Mpumalanga
MP305,Lekwa,0.998359105,0.671750998,0.5154703745,Mpumalanga
MP306,Dipaleseng,0.9988146599,0.586584503,0.3878338279,Mpumalanga
MP307,Govan Mbeki,0.9997563351,0.711624011,0.5230515032,Mpumalanga
MP311,Victor Khanye,0.998963157,0.608824847,0.5195691203,Mpumalanga
MP312,Emalahleni,0.9997206914,0.613228586,0.4954213248,Mpumalanga
MP313,Steve Tshwete,0.9996690137,0.638193217,0.6031415905,Mpumalanga
MP314,Emakhazeni,0.9992626573,0.516384779,0.5251889169,Mpumalanga
MP315,Thembisile,0.9990330383,0.472269614,0.3546711793,Mpumalanga
MP316,Dr JS Moroka,0.9995157324,0.399915125,0.2542772346,Mpumalanga
MP321,Thaba Chweu,0.9991438718,0.568146441,0.6027949476,Mpumalanga
MP322,Mbombela,0.9997790509,0.474942701,0.4626900585,Mpumalanga
MP323,Umjindi,0.9991033345,0.533661051,0.4914599431,Mpumalanga
MP324,Nkomazi,0.9989147243,0.353594572,0.4412313433,Mpumalanga
MP325,Bushbuckridge,0.9969210928,0.277435283,0.2160820062,Mpumalanga
NC061,Richtersveld,0.9989985858,0.698892666,0.6802646086,Northern Cape
NC062,Nama Khoi,0.9978579571,0.685299264,0.5638699924,Northern Cape
NC064,Kamiesberg,0.9970543629,0.577967945,0.4676258993,Northern Cape
NC065,Hantam,0.9995634603,0.669744252,0.7606112054,Northern Cape
NC066,Karoo Hoogland,0.9977187492,0.535635105,0.7272727273,Northern Cape
NC067,Kh‹¨«i-Ma,0.9989009554,0.667551603,0.6919739696,Northern Cape
NC071,Ubuntu,0.9986324109,0.651421812,0.5345285525,Northern Cape
NC072,Umsobomvu,0.9987049674,0.658815738,0.4712990937,Northern Cape
NC073,Emthanjeni,0.9986481773,0.688452563,0.4621621622,Northern Cape
NC074,Kareeberg,0.9996197444,0.647292409,0.5613275613,Northern Cape
NC075,Renosterberg,0.9955897171,0.670223254,0.6156069364,Northern Cape
NC076,Thembelihle,0.9972350797,0.55606452,0.5235646958,Northern Cape
NC077,Siyathemba,0.9979176037,0.657320763,0.6153250774,Northern Cape
NC078,Siyancuma,0.9981857612,0.59752436,0.5294117647,Northern Cape
NC081,Mier,0.9974862541,0.558244948,0.5542986425,Northern Cape
NC082,Kai !Garib,0.9987724355,0.614776383,0.8803789522,Northern Cape
NC083,//Khara Hais,0.9994188793,0.654904934,0.5757105943,Northern Cape
NC084,!Kheis,0.9989828731,0.528493431,0.5455365194,Northern Cape
NC085,Tsantsabane,0.9969516694,0.63470947,0.5728813559,Northern Cape
NC086,Kgatelopele,0.9986605014,0.712919717,0.5834011391,Northern Cape
NC091,Sol Plaatjie,0.9998223561,0.67941982,0.417469806,Northern Cape
NC092,Dikgatlong,0.9992402303,0.611380922,0.3518518519,Northern Cape
NC093,Magareng,0.9991544834,0.672415791,0.3151227237,Northern Cape
NC094,Phokwane,0.9989872746,0.617156404,0.385023898,Northern Cape
NC451,Joe Morolong,0.9989753745,0.16135296,0.40302267,Northern Cape
NC452,Ga-Segonyana,0.9990976153,0.371632322,0.4084960741,Northern Cape
NC453,Gamagara,0.9991716093,0.694703773,0.6356353591,Northern Cape
NMA,Nelson Mandela Bay,0.9993336909,0.704481382,0.3839655021,Eastern Cape
NW371,Moretele,0.9987661258,0.399557094,0.2912114949,North West
NW372,Local Municipality of Madibeng,0.9987753788,0.482167728,0.4879502918,North West
NW373,Rustenburg,0.9985401511,0.589268442,0.4933837843,North West
NW374,Kgetlengrivier,0.9995298383,0.572742572,0.6276797829,North West
NW375,Moses Kotane,0.9979424489,0.377500789,0.3514464145,North West
NW381,Ratlou,0.9991104761,0.179427048,0.3929791861,North West
NW382,Tswaing,0.9988047378,0.415321375,0.5060918463,North West
NW383,Mafikeng,0.9987072949,0.436914872,0.3649279747,North West
NW384,Ditsobotla,0.9996683405,0.491269076,0.5225572183,North West
NW385,Ramotshere Moiloa,0.749236893,0.356733321,0.4171621404,North West
NW392,Naledi,0.9981004582,0.559354075,0.528229449,North West
NW393,Mamusa,0.998264277,0.569519761,0.4375578168,North West
NW394,Greater Taung,0.9989249146,0.266046004,0.2764866164,North West
NW396,Lekwa-Teemane,0.9992082537,0.70853386,0.4862559242,North West
NW397,Kagisano/Molopo,0.9993329131,0.242138472,0.5252801993,North West
NW401,Ventersdorp,0.9974766172,0.465944808,0.5608994379,North West
NW402,Tlokwe City Council,0.9985684092,0.689715567,0.5951658937,North West
NW403,City of Matlosana,0.9981116595,0.70493483,0.4340503465,North West
NW404,Maquassi Hills,0.9994446911,0.61481132,0.4861489555,North West
TSH,City of Tshwane,0.9997705398,0.678458085,0.5130305223,Gauteng
WC011,Matzikama,0.9991601568,0.66451707,0.7317255562,Western Cape
WC012,Cederberg,0.9995261541,0.66809104,0.8128857072,Western Cape
WC013,Bergrivier,0.9997793567,0.698942586,0.8706539735,Western Cape
WC014,Saldanha Bay,0.9998851297,0.706038112,0.5804180172,Western Cape
WC015,Swartland,0.9998236576,0.70615472,0.7477983267,Western Cape
WC022,Witzenberg,0.9999315118,0.692917136,0.8567307692,Western Cape
WC023,Drakenstein,0.999911638,0.711611217,0.6532358354,Western Cape
WC024,Stellenbosch,0.9998724616,0.71095056,0.6890619207,Western Cape
WC025,Breede Valley,0.9999314101,0.695228025,0.723827534,Western Cape
WC026,Langeberg,0.9999253555,0.702217557,0.7952637514,Western Cape
WC031,Theewaterskloof,0.9993254378,0.655016752,0.720940357,Western Cape
WC032,Overstrand,0.9999195822,0.626021046,0.5637879503,Western Cape
WC033,Cape Agulhas,0.9996659957,0.703267611,0.7241770715,Western Cape
WC034,Swellendam,0.9997038481,0.674111907,0.7743764172,Western Cape
WC041,Kannaland,0.9984860339,0.631654533,0.7111528822,Western Cape
WC042,Hessequa,0.999727339,0.695660203,0.7233109096,Western Cape
WC043,Mossel Bay,0.9993360836,0.69930204,0.5918163673,Western Cape
WC044,George,0.9998158473,0.690510268,0.6003924592,Western Cape
WC045,Oudtshoorn,0.9990279205,0.625167729,0.5229480737,Western Cape
WC047,Bitou,0.9994254835,0.678165846,0.4529003471,Western Cape
WC048,Knysna,0.9986038868,0.608490934,0.5355843106,Western Cape
WC051,Laingsburg,0.9974854054,0.69450831,0.7289256198,Western Cape
WC052,Prince Albert,0.9991679094,0.654090735,0.6563614744,Western Cape
WC053,Beaufort West,0.9994464642,0.714880049,0.5419309373,Western Cape
