geo_code,name,total,Both parents,Both parents-Female,Both parents-Male,Father only,Father only-Female,Father only-Male,Mother only,Mother only-Female,Mother only-Male,Neither parent,Neither parent-Female,Neither parent-Male,province
NC092,Dikgatlong,4178,1011,487,524,184,106,78,1304,638,666,1679,874,805,Northern Cape
NC093,Magareng,2235,418,209,209,80,36,44,648,331,317,1089,540,549,Northern Cape
NC451,Joe Morolong,9344,1285,608,677,285,129,156,3427,1742,1685,4347,2114,2233,Northern Cape
NC452,Ga-Segonyana,9521,2037,1005,1032,318,163,155,3082,1546,1536,4084,2060,2024,Northern Cape
NC453,Gamagara,3003,899,443,456,144,69,75,844,464,380,1116,562,554,Northern Cape
CPT,City of Cape Town,294769,104158,52078,52080,13834,6490,7344,99276,51468,47808,77501,41702,35799,Northern Cape
WC011,Matzikama,5694,2044,971,1073,264,118,146,1671,870,801,1715,928,787,Western Cape
WC013,Bergrivier,4760,2026,1043,983,185,89,96,1379,697,682,1170,599,571,Western Cape
WC014,Saldanha Bay,7650,3097,1489,1608,367,163,204,2341,1217,1124,1845,935,910,Western Cape
WC015,Swartland,8770,3901,1993,1908,307,138,169,2434,1278,1156,2128,1140,988,Western Cape
WC022,Witzenberg,9846,3606,1768,1838,403,198,205,2943,1486,1457,2894,1486,1408,Western Cape
WC023,Drakenstein,21905,8582,4249,4333,1028,473,555,7231,3629,3602,5064,2664,2400,Western Cape
WC025,Breede Valley,14680,5360,2694,2666,533,260,273,4959,2501,2458,3828,2050,1778,Western Cape
WC026,Langeberg,8540,3140,1539,1601,396,166,230,2774,1427,1347,2230,1156,1074,Western Cape
WC031,Theewaterskloof,8954,3333,1662,1671,425,184,241,2745,1426,1319,2451,1242,1209,Western Cape
WC032,Overstrand,5038,1780,913,867,211,83,128,1469,779,690,1578,853,725,Western Cape
WC034,Swellendam,2919,1219,602,617,141,63,78,754,338,416,805,395,410,Western Cape
WC041,Kannaland,2099,745,383,362,98,43,55,615,301,314,641,344,297,Western Cape
WC042,Hessequa,3955,1653,837,816,162,78,84,1109,540,569,1031,552,479,Western Cape
WC043,Mossel Bay,6515,1767,840,927,326,174,152,2069,1106,963,2353,1203,1150,Western Cape
