geo_code,name,total,0-14,15-24,25-34,35-44,45-54,55-64,65+,province
LIM332,Greater Letaba,211055,72698,50158,26735,19816,15431,10924,15293,Limpopo
LIM333,Greater Tzaneen,385060,121887,82939,58661,43882,33257,21224,23210,Limpopo
LIM335,Maruleng,93585,32181,20871,13636,9694,7325,4684,5194,Limpopo
LIM341,Musina,62316,16597,12998,15077,9022,4414,2329,1879,Limpopo
LIM342,Mutale,92008,35059,20643,11284,8497,6468,3893,6164,Limpopo
LIM343,Thulamela,615440,214652,144444,82182,59769,46266,28973,39154,Limpopo
LIM344,Makhado,513419,177982,110235,67702,52103,40476,26401,38520,Limpopo
LIM351,Blouberg,161035,62445,36613,16669,13126,11113,8695,12374,Limpopo
LIM353,Molemole,107273,37934,23476,12804,9940,8189,6333,8597,Limpopo
LIM354,Polokwane,618747,182272,136895,105921,74950,52240,33158,33311,Limpopo
LIM355,Lepele-Nkumpi,228732,81281,48130,27191,21569,18173,13531,18857,Limpopo
LIM361,Thabazimbi,81141,15743,13427,20835,14300,10332,4365,2139,Limpopo
LIM362,Lephalale,111441,28318,24147,24122,14046,10066,5865,4877,Limpopo
LIM365,Modimolle,65008,18741,12537,11825,8738,5745,3544,3878,Limpopo
LIM366,Bela-Bela,62940,16638,11809,11425,8545,6274,4167,4082,Eastern Cape
BUF,Buffalo City,750216,199505,142384,124015,99142,84853,54103,46214,Eastern Cape
EC101,Camdeboo,49442,14533,9294,6820,6147,5316,3756,3576,Eastern Cape
EC105,Ndlambe,61147,15475,9742,9070,8198,7089,5309,6264,Eastern Cape
EC122,Mnquma,248363,86207,51967,24884,20554,22331,19366,23054,Eastern Cape
EC128,Nxuba,24138,7178,4208,3141,2806,2681,1998,2126,Eastern Cape
EC135,Intsika Yethu,143284,52369,27349,12744,10961,12920,12101,14840,Eastern Cape
EC144,Gariep,33458,10563,5957,4822,3890,3419,2546,2261,Eastern Cape
EC157,King Sabata Dalindyebo,439933,154708,105778,58451,40890,33176,23666,23264,Eastern Cape
NMA,Nelson Mandela Bay,1147424,292396,213917,188640,157659,134291,89909,70612,Eastern Cape
FS164,Naledi,24185,7896,4789,3458,2666,1993,1708,1675,Free State
