geo_code,name,total,employed,employed-15-19,employed-15-19-Female,employed-15-19-Male,employed-20-24,employed-20-24-Female,employed-20-24-Male,unemployed,unemployed-15-19,unemployed-15-19-Female,unemployed-15-19-Male,unemployed-20-24,unemployed-20-24-Female,unemployed-20-24-Male,province
KZN271,Umhlabuyalingana,4860,1609,483,249,234,1126,587,539,3251,1083,578,505,2168,1215,953,KwaZulu-Natal
KZN282,uMhlathuze,23802,10627,1648,801,847,8979,4065,4914,13175,3810,2044,1766,9365,5120,4245,KwaZulu-Natal
KZN292,KwaDukuza,18516,10766,1876,807,1069,8890,3587,5303,7750,2290,1249,1041,5460,3008,2452,KwaZulu-Natal
KZN433,Greater Kokstad,5271,2636,440,170,270,2196,964,1232,2635,956,517,439,1679,945,734,KwaZulu-Natal
LIM334,Ba-Phalaborwa,8739,2947,404,169,235,2543,980,1563,5792,1254,710,544,4538,2430,2108,KwaZulu-Natal
LIM352,Aganang,4446,1094,256,96,160,838,342,496,3352,872,419,453,2480,1403,1077,Limpopo
LIM364,Mookgopong,2944,1761,282,96,186,1479,543,936,1183,276,132,144,907,532,375,Limpopo
LIM367,Mogalakwena,14048,4787,775,330,445,4012,1577,2435,9261,2176,1109,1067,7085,3872,3213,Limpopo
LIM471,Ephraim Mogale,6212,2520,497,196,301,2023,730,1293,3692,1018,517,501,2674,1477,1197,Limpopo
LIM472,Elias Motsoaledi,10950,3908,686,267,419,3222,1252,1970,7042,1790,946,844,5252,2824,2428,Limpopo
LIM473,Makhuduthamaga,10834,1968,477,216,261,1491,614,877,8866,2325,1190,1135,6541,3644,2897,Limpopo
LIM474,Fetakgomo,4420,735,155,59,96,580,215,365,3685,1078,576,502,2607,1458,1149,Limpopo
LIM475,Greater Tubatse,20971,5234,792,341,451,4442,1518,2924,15737,3984,2098,1886,11753,6434,5319,Limpopo
MP301,Albert Luthuli,9572,3936,613,287,326,3323,1320,2003,5636,1655,864,791,3981,2224,1757,Limpopo
MP302,Msukaligwa,10976,5750,824,312,512,4926,1834,3092,5226,1522,830,692,3704,2148,1556,Mpumalanga
MP304,Pixley Ka Seme,4089,1666,306,110,196,1360,508,852,2423,656,361,295,1767,968,799,Mpumalanga
MP305,Lekwa,7983,4115,609,232,377,3506,1202,2304,3868,1072,596,476,2796,1530,1266,Mpumalanga
MP306,Dipaleseng,3370,1307,187,60,127,1120,342,778,2063,666,325,341,1397,748,649,Mpumalanga
MP307,Govan Mbeki,24814,12979,2051,851,1200,10928,3723,7205,11835,3295,1744,1551,8540,4492,4048,Mpumalanga
MP312,Emalahleni,34617,17150,2241,823,1418,14909,5182,9727,17467,4383,2292,2091,13084,6832,6252,Mpumalanga
MP313,Steve Tshwete,18271,11020,1707,681,1026,9313,3221,6092,7251,2085,1145,940,5166,2861,2305,Mpumalanga
MP314,Emakhazeni,3176,1668,185,47,138,1483,514,969,1508,401,213,188,1107,617,490,Mpumalanga
MP315,Thembisile,17137,6078,938,399,539,5140,2078,3062,11059,2708,1404,1304,8351,4464,3887,Mpumalanga
MP316,Dr JS Moroka,11456,2913,588,217,371,2325,910,1415,8543,2107,1109,998,6436,3469,2967,Mpumalanga
MP321,Thaba Chweu,7442,4486,670,255,415,3816,1398,2418,2956,825,466,359,2131,1220,911,Mpumalanga
MP323,Umjindi,4918,2417,383,168,215,2034,778,1256,2501,746,416,330,1755,982,773,Mpumalanga
MP324,Nkomazi,24656,10879,2561,991,1570,8318,3162,5156,13777,4453,2475,1978,9324,5298,4026,Mpumalanga
MP325,Bushbuckridge,28193,6092,1076,499,577,5016,2128,2888,22101,5799,3134,2665,16302,9000,7302,Mpumalanga
NW371,Moretele,10161,2959,476,179,297,2483,921,1562,7202,1867,968,899,5335,2786,2549,Mpumalanga
NW372,Madibeng,39752,19397,2746,1015,1731,16651,5303,11348,20355,5064,2671,2393,15291,8317,6974,North West
NW374,Kgetlengrivier,3685,2313,446,139,307,1867,517,1350,1372,550,293,257,822,489,333,North West
NW375,Moses Kotane,13931,4896,664,255,409,4232,1497,2735,9035,2518,1279,1239,6517,3417,3100,North West
NW381,Ratlou,3219,1265,278,113,165,987,301,686,1954,670,321,349,1284,686,598,North West
NW382,Tswaing,5335,2700,428,120,308,2272,628,1644,2635,690,332,358,1945,1025,920,North West
NW383,Mafikeng,15203,5548,873,380,493,4675,1976,2699,9655,2688,1324,1364,6967,3688,3279,North West
