geo_code,name,total,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,Northern Cape,North West,Outside South Africa,Unspecified,Western Cape,province
WC011,Matzikama,11325,492,60,87,15,39,38,1142,31,145,205,9071,Western Cape
WC013,Bergrivier,9516,461,31,59,17,22,26,163,36,232,156,8313,Western Cape
WC014,Saldanha Bay,17068,2926,195,503,148,93,114,606,78,315,223,11867,Western Cape
WC015,Swartland,18026,1832,92,210,38,52,56,284,38,326,122,14976,Western Cape
WC022,Witzenberg,21362,3656,175,163,47,39,55,246,30,859,271,15821,Western Cape
WC023,Drakenstein,45032,3960,234,699,161,91,154,370,90,793,634,37846,Western Cape
WC025,Breede Valley,29034,2057,164,257,70,45,83,212,38,1098,341,24669,Western Cape
WC026,Langeberg,16920,799,68,152,35,23,32,64,16,458,333,14940,Western Cape
WC031,Theewaterskloof,18623,3494,52,107,53,19,41,113,27,403,423,13891,Western Cape
WC032,Overstrand,11457,3832,126,448,103,40,62,100,33,397,171,6145,Western Cape
WC034,Swellendam,5870,413,34,44,10,13,28,37,11,144,36,5100,Western Cape
WC041,Kannaland,4055,20,12,35,7,6,7,17,2,30,37,3882,Western Cape
WC042,Hessequa,7622,145,73,146,12,24,52,32,29,80,77,6952,Western Cape
WC043,Mossel Bay,13727,2401,315,553,104,78,118,199,115,224,249,9371,Western Cape
