,Unnamed: 0,mun_code,mun_name,Province,Latitude,Longitude,Wages_Salaries,emp_social_contributions,Less_Employee_Costs_Capitalised,Less_Employee_Costs_Allocated_To_Other_Operations,Councillor_Remuneration,Debt_Impairment,Collection_Costs,Dep_Impairment,IntExp_ExtBorrowing,Redemption_Payment,Bulk_Purchases,Other_Materials,Contracted_Services,Grants_Subsedies,Other_Expenditure,Loss_disposalPPE,Provision_Contribution,Total_Expenditure
101,2013,FS203,Ngwathe,Free State,27.267611600000002,27.267611600000002,153656715,23527311,0,0,9046834,59460672,0,97194922,3273815,0,128865523,0,8506519,0,123696472,0,0,607228783
102,2013,FS204,Metsimaholo,Free State,27.737337300000004,27.737337300000004,144176401,25996790,0,0,12101915,62594376,0,43308890,0,1174000,235117892,23607815,20021661,30958113,62909175,5975425,0,667942453
103,2013,FS205,Mafube,Free State,27.8277881,27.8277881,66470109,0,0,0,5420628,40276463,0,123676891,7278597,0,9168910,0,0,7529210,49694878,0,0,309515686
104,2013,GT421,Emfuleni,Free State,28.5797981,28.5797981,602448939,151873724,0,0,26661222,457427988,0,503716807,32425322,0,1803669344,104668557,82591790,0,507507436,23957740,0,4296948869
105,2013,GT422,Midvaal,Gauteng,27.784246000000003,27.784246000000003,142397718,8771969,0,0,7874951,27322871,0,109753182,16119860,0,225659653,28675654,48879520,803045,37331971,0,0,653590394
106,2013,GT423,Lesedi,Gauteng,28.0654445,28.0654445,86556582,6137610,0,0,7344756,81963434,721309,35963616,6982598,0,189132290,20992106,681919,0,49995674,299648,1199617,487971159
107,2013,GT481,Mogale City,Gauteng,28.4396756,28.4396756,365019511,76808584,0,0,19019067,28532792,0,242282204,45421281,0,607052115,69974549,165825020,32510000,239809176,0,0,1892254299
108,2013,GT482,Randfontein,Gauteng,27.596540299999997,27.596540299999997,192311699,0,0,0,13747484,36127544,0,104803894,17879006,0,292647939,0,27974823,420000,110828567,18933612,0,815674568
109,2013,GT483,Westonaria,Gauteng,27.6786847,27.6786847,105800709,0,0,0,10694671,17705187,0,85165566,6946759,0,145336951,0,16635311,0,69606378,0,0,457891532
110,2013,GT484,Merafong City,Gauteng,27.666952000000002,27.666952000000002,202204924,60160840,0,0,16619000,188605934,0,106185805,6993000,0,284452000,0,64748000,0,235814000,1494000,0,1167277503
111,2013,JHB,City of Johannesburg,Gauteng,27.4086488,27.4086488,7448344000,0,0,0,110411000,2879653000,0,2072862000,1459552000,0,11034269000,97033000,1816857000,153955000,4584599999,3711000,-97540000,31563706999
112,2013,KZN211,Vulamehlo,Gauteng,27.971760600000003,27.971760600000003,13405578,0,0,0,6665319,1304758,0,9609374,330368,0,0,0,273040,6379221,17088676,0,0,55056334
113,2013,KZN212,Umdoni,KwaZulu-Natal,30.573957899999996,30.573957899999996,55070591,0,0,0,5359310,3114172,0,21385793,13523,0,0,0,15421955,0,46414269,0,0,146779613
