,account_type,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,AUDA,LIM473,Makhuduthamaga,Total,18318646,Limpopo,29.0138916,29.0138916
2013,AUDA,MAN,Mangaung,Total,929711885,Limpopo,29.3250347,29.3250347
2013,AUDA,MP301,Chief Albert Luthuli,Total,40091640,Limpopo,29.8352303,29.8352303
2013,AUDA,MP302,Msukaligwa,Total,191307904,Free State,26.3249438,26.3249438
2013,AUDA,MP303,Mkhondo,Total,80941957,Mpumalanga,30.3325113,30.3325113
2013,AUDA,MP304,Dr Pixley Ka Isaka Seme,Total,30632614,Mpumalanga,30.0665236,30.0665236
2013,AUDA,MP305,Lekwa,Total,233587161,Mpumalanga,30.6199895,30.6199895
2013,AUDA,MP306,Dipaleseng,Total,14661486,Mpumalanga,29.8815203,29.8815203
2013,AUDA,MP307,Govan Mbeki,Total,274510572,Mpumalanga,29.3250347,29.3250347
2013,AUDA,MP313,Steve Tshwete,Total,129946381,Mpumalanga,28.5797981,28.5797981
2013,AUDA,MP314,Emakhazeni,Total,61852300,Mpumalanga,29.1390642,29.1390642
2013,AUDA,MP315,Thembisile,Total,65673409,Mpumalanga,29.4681751,29.4681751
2013,AUDA,MP316,Dr JS Moroka,Total,643031,Mpumalanga,30.0665236,30.0665236
2013,AUDA,MP321,Thaba Chweu,Total,260664484,Mpumalanga,28.9062794,28.9062794
2013,AUDA,MP322,Mbombela,Total,179893399,Mpumalanga,28.8130675,28.8130675
2013,AUDA,MP323,Umjindi,Total,16296561,Mpumalanga,30.7791913,30.7791913
2013,AUDA,MP324,Nkomazi,Total,110087800,Mpumalanga,31.03351,31.03351
2013,AUDA,NC062,Nama Khoi,Total,49679479,Mpumalanga,31.7195459,31.7195459
2013,AUDA,NC064,Kamiesberg,Total,14043684,Northern Cape,17.8583868,17.8583868
2013,AUDA,NC065,Hantam,Total,2411713,Northern Cape,17.8583868,17.8583868
2013,AUDA,NC066,Karoo Hoogland,Total,10540074,Northern Cape,19.949686,19.949686
2013,AUDA,NC067,Khâi-Ma,Total,7338292,Northern Cape,20.902977,20.902977
2013,AUDA,NC071,Ubuntu,Total,3409319,Northern Cape,19.237649,19.237649
2013,AUDA,NC072,Umsobomvu,Total,18110353,Northern Cape,23.1918021,23.1918021
2013,AUDA,NC073,Emthanjeni,Total,12348959,Northern Cape,24.9991464,24.9991464
2013,AUDA,NC074,Kareeberg,Total,0,Northern Cape,24.0087533,24.0087533
2013,AUDA,NC076,Thembelihle,Total,12595843,Northern Cape,22.047637,22.047637
2013,AUDA,NC078,Siyancuma,Total,11384752,Northern Cape,23.8584737,23.8584737
2013,AUDA,NC081,Mier,Total,6540609,Northern Cape,23.4776098,23.4776098
2013,AUDA,NC082,Kai !Garib,Total,13800361,Northern Cape,20.2832217,20.2832217
2013,AUDA,NC083,//Khara Hais,Total,43385213,Northern Cape,20.9759699,20.9759699
2013,AUDA,NC085,Tsantsabane,Total,78249605,Northern Cape,21.242665,21.242665
2013,AUDA,NC091,Sol Plaatjie,Total,114772655,Northern Cape,23.1918021,23.1918021
2013,AUDA,NC451,Joe Morolong,Total,27948577,Northern Cape,24.6667939,24.6667939
2013,AUDA,NC452,Ga-Segonyana,Total,11867980,Northern Cape,23.287085,23.287085
2013,AUDA,NMA,Nelson Mandela Bay,Total,1862686827,Northern Cape,23.4776098,23.4776098
2013,AUDA,NW371,Moretele,Total,122592837,Eastern Cape,25.5681084,25.5681084
2013,AUDA,NW372,Local Municipality of Madibeng,Total,75871301,North West,27.9717606,27.9717606
2013,AUDA,NW373,Rustenburg,Total,1818022,North West,27.8311428,27.8311428
2013,AUDA,NW374,Kgetlengrivier,Total,13003274,North West,27.2676116,27.2676116
2013,AUDA,NW383,Mafikeng,Total,137450580,North West,26.8910342,26.8910342
2013,AUDA,NW384,Ditsobotla,Total,66905085,North West,25.5681084,25.5681084
2013,AUDA,NW385,Ramotshere Moiloa,Total,143703,North West,26.1359431,26.1359431
2013,AUDA,NW392,Naledi,Total,146890641,North West,26.10005,26.10005
2013,AUDA,NW397,Kagisano/Molopo,Total,13549755,North West,24.7142918,24.7142918
2013,AUDA,NW401,Ventersdorp,Total,46229479,North West,23.9536466,23.9536466
2013,AUDA,NW402,Tlokwe City Council,Total,73556670,North West,26.8910342,26.8910342
2013,AUDA,NW404,Maquassi Hills,Total,57548670,North West,27.096925,27.096925
2013,AUDA,TSH,City of Tshwane,Total,5383911854,North West,26.1359431,26.1359431
2013,AUDA,WC011,Matzikama,Total,23935678,Gauteng,28.3929417,28.3929417
2013,AUDA,WC012,Cederberg,Total,38501281,Western Cape,18.5225709,18.5225709
2013,AUDA,WC013,Bergrivier,Total,1340152,Western Cape,19.0118251,19.0118251
2013,AUDA,WC014,Saldanha Bay,Total,81656440,Western Cape,18.7125791,18.7125791
2013,AUDA,WC015,Swartland,Total,43771409,Western Cape,18.1903059,18.1903059
2013,AUDA,WC022,Witzenberg,Total,17025808,Western Cape,18.6624903,18.6624903
2013,AUDA,WC023,Drakenstein,Total,193476306,Western Cape,19.2831531,19.2831531
2013,AUDA,WC024,Stellenbosch,Total,111390647,Western Cape,19.04532,19.04532
2013,AUDA,WC025,Breede Valley,Total,99953249,Western Cape,18.9502232,18.9502232
2013,AUDA,WC026,Langeberg,Total,34299760,Western Cape,19.4735066,19.4735066
2013,AUDA,WC031,Theewaterskloof,Total,46830693,Western Cape,27.812138,27.812138
2013,AUDA,WC032,Overstrand,Total,27282023,Western Cape,19.4252453,19.4252453
2013,AUDA,WC033,Cape Agulhas,Total,1861038,Western Cape,19.4259114,19.4259114
2013,AUDA,WC034,Swellendam,Total,18805197,Western Cape,20.0449662,20.0449662
2013,AUDA,WC041,Kannaland,Total,0,Western Cape,20.7185132,20.7185132
2013,AUDA,WC042,Hessequa,Total,27488167,Western Cape,21.3798928,21.3798928
2013,AUDA,WC043,Mossel Bay,Total,3693063,Western Cape,21.1891151,21.1891151
2013,AUDA,WC044,George,Total,56752591,Western Cape,21.9045541,21.9045541
2013,AUDA,WC045,Oudtshoorn,Total,26220779,Western Cape,22.4768287,22.4768287
2013,AUDA,WC047,Bitou,Total,55098272,Western Cape,22.1430215,22.1430215
2013,AUDA,WC048,Knysna,Total,55083169,Western Cape,23.429984,23.429984
2013,AUDA,WC051,Laingsburg,Total,1900554,Western Cape,23.049842,23.049842
2013,AUDA,WC052,Prince Albert,Total,437718,Western Cape,20.902977,20.902977
2013,AUDA,WC053,Beaufort West,Total,21202030,Western Cape,22.047637,22.047637
2014,AUDA,BUF,Buffalo City,Total,628411818,Western Cape,22.8105512,22.8105512
2014,AUDA,CPT,City of Cape Town,Total,147848248,Eastern Cape,27.6434844,27.6434844
2014,AUDA,DC1,West Coast,Total,22903686,Western Cape,18.4680927,18.4680927
2014,AUDA,DC10,Cacadu,Total,821253,Western Cape,18.6175626,18.6175626
2014,AUDA,DC12,Amathole,Total,-83879263,Eastern Cape,25.6223644,25.6223644
2014,AUDA,DC13,Chris Hani,Total,124440534,Eastern Cape,27.3616476,27.3616476
2014,AUDA,DC14,Joe Gqabi,Total,64916157,Eastern Cape,26.7967849,26.7967849
2014,AUDA,DC16,Xhariep,Total,5678208,Eastern Cape,26.9852422,26.9852422
2014,AUDA,DC18,Lejweleputswa,Total,7048520,Free State,25.2837585,25.2837585
2014,AUDA,DC19,Thabo Mofutsanyane,Total,28321971,Free State,26.2304616,26.2304616
2014,AUDA,DC2,Cape Winelands,Total,1199765,Free State,28.299435,28.299435
2014,AUDA,DC21,Ugu,Total,135304553,Western Cape,19.7591675,19.7591675
2014,AUDA,DC22,Umgungundlovu,Total,45013412,KwaZulu-Natal,30.2512728,30.2512728
2014,AUDA,DC23,Uthukela,Total,74105550,KwaZulu-Natal,30.3435506,30.3435506
2014,AUDA,DC24,Umzinyathi,Total,61508318,KwaZulu-Natal,29.6035495,29.6035495
2014,AUDA,DC25,Amajuba,Total,26395069,KwaZulu-Natal,30.6199895,30.6199895
2014,AUDA,DC26,Zululand,Total,95879395,KwaZulu-Natal,30.0665236,30.0665236
2014,AUDA,DC27,Umkhanyakude,Total,113127117,KwaZulu-Natal,31.4456179,31.4456179
2014,AUDA,DC28,Uthungulu,Total,163569776,KwaZulu-Natal,32.5372741,32.5372741
2014,AUDA,DC29,iLembe,Total,50208506,KwaZulu-Natal,31.5370003,31.5370003
2014,AUDA,DC3,Overberg,Total,2270014,KwaZulu-Natal,31.1710389,31.1710389
2014,AUDA,DC30,Gert Sibande,Total,67110133,Western Cape,19.7591675,19.7591675
2014,AUDA,DC31,Nkangala,Total,33432864,Mpumalanga,29.9740534,29.9740534
2014,AUDA,DC32,Ehlanzeni,Total,45266000,Mpumalanga,29.6035495,29.6035495
2014,AUDA,DC33,Mopani,Total,262235221,Mpumalanga,31.2626366,31.2626366
2014,AUDA,DC34,Vhembe,Total,25115210,Limpopo,30.7160431,30.7160431
2014,AUDA,DC35,Capricorn,Total,261887532,Limpopo,29.9740534,29.9740534
2014,AUDA,DC36,Waterberg,Total,8632272,Limpopo,29.2320784,29.2320784
2014,AUDA,DC37,Bojanala,Total,49363289,Limpopo,28.299435,28.299435
2014,AUDA,DC38,Ngaka Modiri Molema,Total,471850570,North West,27.3616476,27.3616476
2014,AUDA,DC39,Dr Ruth Segomotsi Mompati,Total,1504241,North West,25.8521764,25.8521764
2014,AUDA,DC4,Eden,Total,21818059,North West,24.3341432,24.3341432
2014,AUDA,DC40,Dr Kenneth Kaunda,Total,30461090,Western Cape,22.047637,22.047637
2014,AUDA,DC42,Sedibeng,Total,77439259,North West,26.5137964,26.5137964
2014,AUDA,DC43,Harry Gwala,Total,56752956,Gauteng,28.2058768,28.2058768
2014,AUDA,DC44,Alfred Nzo,Total,107926953,KwaZulu-Natal,29.6035495,29.6035495
2014,AUDA,DC47,Sekhukhune,Total,481530415,Eastern Cape,28.8596804,28.8596804
2014,AUDA,DC48,West Rand,Total,788,Limpopo,29.9740534,29.9740534
2014,AUDA,DC5,Central Karoo,Total,5723477,Gauteng,27.4556388,27.4556388
2014,AUDA,DC6,Namakwa,Total,2825423,Western Cape,22.2384017,22.2384017
2014,AUDA,DC7,Pixley ka Seme,Total,7462052,Northern Cape,19.949686,19.949686
2014,AUDA,DC8,Z F Mgcawu,Total,4968647,Northern Cape,23.3823545,23.3823545
