,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,166272802,AUDA,EC131,Inxuba Yethemba,Total Cash Payments by Type,Eastern Cape,26.3249438,26.3249438
2013,61346709,AUDA,EC132,Tsolwana,Total Cash Receipts by Source,Eastern Cape,25.3785719,25.3785719
2013,59692272,AUDA,EC132,Tsolwana,Total Cash Payments by Type,Eastern Cape,25.3785719,25.3785719
2013,50345267,AUDA,EC133,Inkwanca,Total Cash Receipts by Source,Eastern Cape,26.1359431,26.1359431
2013,50181819,AUDA,EC133,Inkwanca,Total Cash Payments by Type,Eastern Cape,26.1359431,26.1359431
2013,555909854,AUDA,EC134,Lukanji,Total Cash Receipts by Source,Eastern Cape,26.5137964,26.5137964
2013,395820301,AUDA,EC134,Lukanji,Total Cash Payments by Type,Eastern Cape,26.5137964,26.5137964
2013,187036538,AUDA,EC135,Intsika Yethu,Total Cash Receipts by Source,Eastern Cape,26.8910342,26.8910342
2013,186475481,AUDA,EC135,Intsika Yethu,Total Cash Payments by Type,Eastern Cape,26.8910342,26.8910342
2013,141267344,AUDA,EC136,Emalahleni,Total Cash Receipts by Source,Eastern Cape,27.6434844,27.6434844
2013,134216791,AUDA,EC136,Emalahleni,Total Cash Payments by Type,Eastern Cape,27.6434844,27.6434844
2013,164526073,AUDA,EC137,Engcobo,Total Cash Receipts by Source,Eastern Cape,29.2553229,29.2553229
2013,151437676,AUDA,EC137,Engcobo,Total Cash Payments by Type,Eastern Cape,29.2553229,29.2553229
2013,82735000,AUDA,EC138,Sakhisizwe,Total Cash Receipts by Source,Eastern Cape,27.9834738,27.9834738
2013,69066000,AUDA,EC138,Sakhisizwe,Total Cash Payments by Type,Eastern Cape,27.9834738,27.9834738
2013,141466402,AUDA,EC141,Elundini,Total Cash Receipts by Source,Eastern Cape,27.8311428,27.8311428
2013,160525881,AUDA,EC141,Elundini,Total Cash Payments by Type,Eastern Cape,27.8311428,27.8311428
2013,177585321,AUDA,EC142,Senqu,Total Cash Receipts by Source,Eastern Cape,28.3929417,28.3929417
2013,149229686,AUDA,EC142,Senqu,Total Cash Payments by Type,Eastern Cape,28.3929417,28.3929417
2013,122141254,AUDA,EC143,Maletswai,Total Cash Receipts by Source,Eastern Cape,27.6434844,27.6434844
2013,122183293,AUDA,EC143,Maletswai,Total Cash Payments by Type,Eastern Cape,27.6434844,27.6434844
2013,98352520,AUDA,EC144,Gariep,Total Cash Receipts by Source,Eastern Cape,26.8910342,26.8910342
2013,100580936,AUDA,EC144,Gariep,Total Cash Payments by Type,Eastern Cape,26.8910342,26.8910342
2013,220251744,AUDA,EC153,Ngquza Hill,Total Cash Receipts by Source,Eastern Cape,25.8521764,25.8521764
2013,131574559,AUDA,EC153,Ngquza Hill,Total Cash Payments by Type,Eastern Cape,25.8521764,25.8521764
2013,99112224,AUDA,EC154,Port St Johns,Total Cash Receipts by Source,Eastern Cape,29.6962677,29.6962677
2013,87660600,AUDA,EC154,Port St Johns,Total Cash Payments by Type,Eastern Cape,29.6962677,29.6962677
2013,191215184,AUDA,EC155,Nyandeni,Total Cash Receipts by Source,Eastern Cape,29.5457058,29.5457058
2013,140661466,AUDA,EC155,Nyandeni,Total Cash Payments by Type,Eastern Cape,29.5457058,29.5457058
2013,129372247,AUDA,EC156,Mhlontlo,Total Cash Receipts by Source,Eastern Cape,29.1390642,29.1390642
2013,108301899,AUDA,EC156,Mhlontlo,Total Cash Payments by Type,Eastern Cape,29.1390642,29.1390642
2013,922088954,AUDA,EC157,King Sabata Dalindyebo,Total Cash Receipts by Source,Eastern Cape,28.8130675,28.8130675
2013,697625776,AUDA,EC157,King Sabata Dalindyebo,Total Cash Payments by Type,Eastern Cape,28.8130675,28.8130675
2013,240095936,AUDA,EC441,Matatiele,Total Cash Receipts by Source,Eastern Cape,28.5797981,28.5797981
2013,265360755,AUDA,EC441,Matatiele,Total Cash Payments by Type,Eastern Cape,28.5797981,28.5797981
2013,199781253,AUDA,EC442,Umzimvubu,Total Cash Receipts by Source,Eastern Cape,28.7664408,28.7664408
2013,184892661,AUDA,EC442,Umzimvubu,Total Cash Payments by Type,Eastern Cape,28.7664408,28.7664408
2013,185748035,AUDA,EC443,Mbizana,Total Cash Receipts by Source,Eastern Cape,28.9528645,28.9528645
2013,145261736,AUDA,EC443,Mbizana,Total Cash Payments by Type,Eastern Cape,28.9528645,28.9528645
2013,101432477,AUDA,EC444,Ntabankulu,Total Cash Receipts by Source,Eastern Cape,29.8566142,29.8566142
2013,103263815,AUDA,EC444,Ntabankulu,Total Cash Payments by Type,Eastern Cape,29.8566142,29.8566142
