,mun_name,mun_code,label,total_amount,Province,Latitude,Longitude
2013,Mhlontlo,EC156,irregular,57591000.0,Eastern Cape,29.1390642,29.1390642
2013,Mhlontlo,EC156,unauthorised,192880000.0,Eastern Cape,29.1390642,29.1390642
2013,King Sabata Dalindyebo,EC157,fruitless,870000.0,Eastern Cape,28.8130675,28.8130675
2013,King Sabata Dalindyebo,EC157,irregular,61768000.0,Eastern Cape,28.8130675,28.8130675
2013,King Sabata Dalindyebo,EC157,unauthorised,96913000.0,Eastern Cape,28.8130675,28.8130675
2013,Matatiele,EC441,fruitless,2000.0,Eastern Cape,28.5797981,28.5797981
2013,Matatiele,EC441,irregular,0.0,Eastern Cape,28.5797981,28.5797981
2013,Matatiele,EC441,unauthorised,16210000.0,Eastern Cape,28.5797981,28.5797981
2013,Umzimvubu,EC442,fruitless,80793000.0,Eastern Cape,28.7664408,28.7664408
2013,Umzimvubu,EC442,irregular,585438000.0,Eastern Cape,28.7664408,28.7664408
2013,Umzimvubu,EC442,unauthorised,2585000.0,Eastern Cape,28.7664408,28.7664408
2013,Mbizana,EC443,fruitless,788000.0,Eastern Cape,28.9528645,28.9528645
2013,Mbizana,EC443,irregular,1195000.0,Eastern Cape,28.9528645,28.9528645
2013,Mbizana,EC443,unauthorised,9596000.0,Eastern Cape,28.9528645,28.9528645
2013,Ntabankulu,EC444,fruitless,5000.0,Eastern Cape,29.8566142,29.8566142
2013,Ntabankulu,EC444,irregular,150000.0,Eastern Cape,29.8566142,29.8566142
2013,Ntabankulu,EC444,unauthorised,14000.0,Eastern Cape,29.8566142,29.8566142
2013,Ekurhuleni,EKU,fruitless,39714000.0,Eastern Cape,29.2785638,29.2785638
2013,Ekurhuleni,EKU,irregular,123154000.0,Eastern Cape,29.2785638,29.2785638
2013,Ekurhuleni,EKU,unauthorised,0.0,Eastern Cape,29.2785638,29.2785638
2013,eThekwini,ETH,fruitless,0.0,Gauteng,28.3461948,28.3461948
2013,eThekwini,ETH,irregular,325271000.0,Gauteng,28.3461948,28.3461948
2013,eThekwini,ETH,unauthorised,0.0,Gauteng,28.3461948,28.3461948
2013,Letsemeng,FS161,fruitless,1095000.0,KwaZulu-Natal,30.8039474,30.8039474
2013,Letsemeng,FS161,irregular,67665000.0,KwaZulu-Natal,30.8039474,30.8039474
2013,Letsemeng,FS161,unauthorised,47809000.0,KwaZulu-Natal,30.8039474,30.8039474
2013,Kopanong,FS162,fruitless,27961000.0,Free State,25.094045,25.094045
2013,Kopanong,FS162,irregular,163301000.0,Free State,25.094045,25.094045
2013,Kopanong,FS162,unauthorised,144540000.0,Free State,25.094045,25.094045
2013,Mohokare,FS163,fruitless,3345000.0,Free State,25.4733554,25.4733554
2013,Mohokare,FS163,irregular,98573000.0,Free State,25.4733554,25.4733554
2013,Mohokare,FS163,unauthorised,87796000.0,Free State,25.4733554,25.4733554
2013,Naledi,FS164,fruitless,8610000.0,Free State,26.9852422,26.9852422
2013,Naledi,FS164,irregular,14949000.0,Free State,26.9852422,26.9852422
2013,Naledi,FS164,unauthorised,0.0,Free State,26.9852422,26.9852422
2013,Masilonyana,FS181,fruitless,1739000.0,Free State,24.7142918,24.7142918
