,mun_name,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,Capricorn,DC35,AUDA,Total Community Wealth / Equity,1597883046,Limpopo,29.2320784,29.2320784
2013,Capricorn,DC35,AUDA,Total Non-Current Liabilities,18334557,Limpopo,29.2320784,29.2320784
2013,Capricorn,DC35,AUDA,Total Current Liabilities,222091150,Limpopo,29.2320784,29.2320784
2013,Capricorn,DC35,AUDA,Total Net Assets and Liabilities,1838308753,Limpopo,29.2320784,29.2320784
2013,Capricorn,DC35,AUDA,Total Non-Current Assets,1539568981,Limpopo,29.2320784,29.2320784
2013,Capricorn,DC35,AUDA,Total Current Assets,298739770,Limpopo,29.2320784,29.2320784
2013,Capricorn,DC35,AUDA,Total Assets,1838308751,Limpopo,29.2320784,29.2320784
2013,Waterberg,DC36,AUDA,Total Community Wealth / Equity,146001785,Limpopo,28.299435,28.299435
2013,Waterberg,DC36,AUDA,Total Non-Current Liabilities,14925867,Limpopo,28.299435,28.299435
2013,Waterberg,DC36,AUDA,Total Current Liabilities,10444707,Limpopo,28.299435,28.299435
2013,Waterberg,DC36,AUDA,Total Net Assets and Liabilities,171372359,Limpopo,28.299435,28.299435
2013,Waterberg,DC36,AUDA,Total Non-Current Assets,61538308,Limpopo,28.299435,28.299435
2013,Waterberg,DC36,AUDA,Total Current Assets,109834051,Limpopo,28.299435,28.299435
2013,Waterberg,DC36,AUDA,Total Assets,171372359,Limpopo,28.299435,28.299435
2013,Bojanala,DC37,AUDA,Total Community Wealth / Equity,4648318,North West,27.3616476,27.3616476
2013,Bojanala,DC37,AUDA,Total Non-Current Liabilities,2587844,North West,27.3616476,27.3616476
2013,Bojanala,DC37,AUDA,Total Current Liabilities,38274525,North West,27.3616476,27.3616476
2013,Bojanala,DC37,AUDA,Total Net Assets and Liabilities,45510687,North West,27.3616476,27.3616476
2013,Bojanala,DC37,AUDA,Total Non-Current Assets,40553309,North West,27.3616476,27.3616476
2013,Bojanala,DC37,AUDA,Total Current Assets,4957378,North West,27.3616476,27.3616476
2013,Bojanala,DC37,AUDA,Total Assets,45510687,North West,27.3616476,27.3616476
2013,Ngaka Modiri Molema,DC38,AUDA,Total Community Wealth / Equity,3043865652,North West,25.8521764,25.8521764
2013,Ngaka Modiri Molema,DC38,AUDA,Total Non-Current Liabilities,36492442,North West,25.8521764,25.8521764
2013,Ngaka Modiri Molema,DC38,AUDA,Total Current Liabilities,306401732,North West,25.8521764,25.8521764
2013,Ngaka Modiri Molema,DC38,AUDA,Total Net Assets and Liabilities,3386759826,North West,25.8521764,25.8521764
2013,Ngaka Modiri Molema,DC38,AUDA,Total Non-Current Assets,3306346604,North West,25.8521764,25.8521764
2013,Ngaka Modiri Molema,DC38,AUDA,Total Current Assets,80413222,North West,25.8521764,25.8521764
2013,Ngaka Modiri Molema,DC38,AUDA,Total Assets,3386759826,North West,25.8521764,25.8521764
2013,Dr Ruth Segomotsi Mompati,DC39,AUDA,Total Community Wealth / Equity,1658641724,North West,24.3341432,24.3341432
2013,Dr Ruth Segomotsi Mompati,DC39,AUDA,Total Non-Current Liabilities,18660736,North West,24.3341432,24.3341432
2013,Dr Ruth Segomotsi Mompati,DC39,AUDA,Total Current Liabilities,144343974,North West,24.3341432,24.3341432
2013,Dr Ruth Segomotsi Mompati,DC39,AUDA,Total Net Assets and Liabilities,1821646434,North West,24.3341432,24.3341432
2013,Dr Ruth Segomotsi Mompati,DC39,AUDA,Total Non-Current Assets,1683085386,North West,24.3341432,24.3341432
2013,Dr Ruth Segomotsi Mompati,DC39,AUDA,Total Current Assets,138561048,North West,24.3341432,24.3341432
2013,Dr Ruth Segomotsi Mompati,DC39,AUDA,Total Assets,1821646434,North West,24.3341432,24.3341432
2013,Eden,DC4,AUDA,Total Community Wealth / Equity,456114234,Western Cape,22.047637,22.047637
2013,Eden,DC4,AUDA,Total Non-Current Liabilities,107059961,Western Cape,22.047637,22.047637
2013,Eden,DC4,AUDA,Total Current Liabilities,68993411,Western Cape,22.047637,22.047637
2013,Eden,DC4,AUDA,Total Net Assets and Liabilities,632167606,Western Cape,22.047637,22.047637
2013,Eden,DC4,AUDA,Total Non-Current Assets,542158164,Western Cape,22.047637,22.047637
2013,Eden,DC4,AUDA,Total Current Assets,90009442,Western Cape,22.047637,22.047637
