,date,mun_code,mun_name,Province,Latitude,Longitude,Property_rates,Property_rates_PENALTIES,Service_Charges,Rent_Faciliites_Equip,Interest_Earned_Ex,Interest_Earned_De,Dividends_Rec,Fines,Licence_permits,Agency_Services,Transfers_Operating,Transfers_Capital,other_rev,PPE_disposal_gain,revenue_foregone,Total_rev
568,2015,DC23,Uthukela,KwaZulu-Natal,30.3435506,30.3435506,0,0,126440171,0,9072588,19148562,0,0,0,0,301290609,306704286,9561045,0,0,772217261
569,2015,DC24,Umzinyathi,KwaZulu-Natal,29.6035495,29.6035495,0,0,55167650,332688,7160308,16547942,0,0,0,0,213523939,280679662,2524736,0,0,575936925
570,2015,DC25,Amajuba,KwaZulu-Natal,30.619989500000003,30.619989500000003,0,0,17863038,287486,1017113,1358925,0,0,0,0,122333134,56271225,8912574,1426246,0,209469741
571,2015,DC26,Zululand,KwaZulu-Natal,30.066523600000004,30.066523600000004,0,0,29948179,178377,2037921,0,0,0,0,0,308127371,351321724,12518511,167119,0,704299202
572,2015,DC27,Umkhanyakude,KwaZulu-Natal,31.445617900000002,31.445617900000002,0,0,25977743,33322,1428101,0,0,0,0,0,237421665,162783139,13917241,0,0,441561211
573,2015,DC28,Uthungulu,KwaZulu-Natal,32.537274100000005,32.537274100000005,0,0,53826073,35965,37045797,28691,0,0,0,0,469387407,229446122,15078285,0,0,804848340
574,2015,DC29,iLembe,KwaZulu-Natal,31.537000300000003,31.537000300000003,0,0,145000897,17756,3676614,14393406,0,0,0,1464156,372902593,340835152,18222755,9147,0,896522476
575,2015,DC3,Overberg,KwaZulu-Natal,31.171038899999996,31.171038899999996,0,0,658048,11498415,1712642,4244,0,0,116416,4798966,108259574,0,1183493,0,0,128231798
576,2015,DC30,Gert Sibande,Western Cape,19.7591675,19.7591675,0,0,1774138,0,3140041,0,0,0,0,0,296130794,0,21860763,1040827,0,323946563
577,2015,DC31,Nkangala,Mpumalanga,29.9740534,29.9740534,0,0,0,89466,31116310,1279615,0,0,0,0,330235931,1950000,2100597,0,0,366771919
578,2015,DC32,Ehlanzeni,Mpumalanga,29.6035495,29.6035495,0,0,0,147059,3969739,0,109605,0,0,0,212630721,0,4564160,0,0,221421284
579,2015,DC33,Mopani,Mpumalanga,31.262636600000004,31.262636600000004,0,0,310694343,0,1050000,19944361,0,0,0,0,602416000,609721000,4670030,0,0,1548495734
580,2015,DC34,Vhembe,Limpopo,30.716043100000004,30.716043100000004,0,0,87144628,0,11664473,0,0,0,0,0,589931460,467081832,4154880,0,0,1159977273
581,2015,DC35,Capricorn,Limpopo,29.9740534,29.9740534,0,0,44299735,0,21439028,9908548,0,0,0,0,468948708,351725942,4901348,0,0,901223309
582,2015,DC36,Waterberg,Limpopo,29.2320784,29.2320784,0,0,1988914,0,6951951,121,0,0,0,107723,104085244,0,684153,49462,0,113867568
583,2015,DC37,Bojanala,Limpopo,28.299435,28.299435,0,0,0,0,1361046,0,0,0,0,0,271947458,0,684569,0,0,273993073
