date,mun_code,efficient_measure,wellfare_measure,profile,province
2013,DC4,0.9877097419,0.706404335,1,Western Cape
2013,DC40,0.9999158596,0.689395456,1,North West
2013,DC42,0.9999992823,0.713566072,1,Gauteng
2013,DC43,0.9951165919,0.214061281,2,KwaZulu-Natal
2013,DC44,0.9999953735,0.134247986,2,Eastern Cape
2013,DC45,0.9999639576,0.380493247,2,Northern Cape
2013,DC47,0.9968860258,0.226523933,2,Limpopo
2013,DC48,0.9999368725,0.63475284,1,Gauteng
2013,DC5,0.9997252505,0.718852518,1,Western Cape
2013,DC6,0.9994577026,0.68193479,1,Northern Cape
2013,DC7,0.9967635036,0.660349775,1,Northern Cape
2013,DC8,0.9997029224,0.633034743,1,Northern Cape
2013,DC9,0.9999397054,0.665701277,1,Northern Cape
2013,EC101,0.9996156426,0.725868116,1,Eastern Cape
2013,EC102,0.9994724534,0.666878204,1,Eastern Cape
2013,EC103,0.9980511286,0.648199708,1,Eastern Cape
2013,EC104,0.9976697036,0.662546256,1,Eastern Cape
2013,EC105,0.9987306477,0.559584124,1,Eastern Cape
2013,EC106,0.9988080091,0.561393827,1,Eastern Cape
2013,EC107,0.9990887668,0.613080476,1,Eastern Cape
2013,EC108,0.9996604453,0.618250601,1,Eastern Cape
2013,EC109,1.0,0.649586383,1,Eastern Cape
2013,EC121,0.9985626779,0.155085974,2,Eastern Cape
2013,EC122,0.9979248851,0.276328599,2,Eastern Cape
2013,EC123,0.9933766293,0.345310779,2,Eastern Cape
2013,EC124,0.9998291376,0.359025174,2,Eastern Cape
2013,EC126,0.9992746111,0.289735039,2,Eastern Cape
2013,EC127,0.999882088,0.451123468,2,Eastern Cape
2013,EC128,0.9999480133,0.640634868,1,Eastern Cape
2013,EC131,0.999213694,0.697655679,1,Eastern Cape
2013,EC132,0.9987019995,0.384912516,2,Eastern Cape
2013,EC133,0.9955466087,0.677260337,1,Eastern Cape
2013,EC134,0.9989538226,0.5887349,1,Eastern Cape
2013,EC135,0.9999988786,0.18635603,2,Eastern Cape
2013,EC136,0.996912404,0.313629254,2,Eastern Cape
2013,EC137,0.9970736167,0.16408711,2,Eastern Cape
2013,EC138,0.9975493652,0.344471991,2,Eastern Cape
2013,EC141,0.9991572329,0.159923441,2,Eastern Cape
2013,EC142,0.9999046995,0.330145882,2,Eastern Cape
2013,EC143,0.9996589189,0.619844662,1,Eastern Cape
2013,EC144,0.9982153353,0.647072577,1,Eastern Cape
2013,EC153,1.0,0.111577542,2,Eastern Cape
2013,EC154,1.0,0.112760027,2,Eastern Cape
2013,EC155,0.9990002759,0.131812775,2,Eastern Cape
2013,EC156,0.9919568725,0.150628273,2,Eastern Cape
2013,EC157,0.9990617653,0.292425125,2,Eastern Cape
2013,EC441,0.9997193069,0.207467727,2,Eastern Cape
2013,EC442,0.9830054203,0.163978758,2,Eastern Cape
2013,EC443,0.9996952498,0.092283048,2,Eastern Cape
2013,EC444,0.9999906692,0.086652323,2,Eastern Cape
2013,EKU,0.9999663371,0.680643316,1,Gauteng
2013,ETH,0.999935378,0.626096942,1,KwaZulu-Natal
2013,FS161,0.9957593921,0.650471416,1,Free State
2013,FS162,0.99261913,0.673422829,1,Free State
2013,FS163,0.9941831014,0.632096414,1,Free State
2013,FS164,0.9988133527,0.675822814,1,Free State
2013,FS181,0.9831167302,0.649809488,1,Free State
2013,FS182,0.9811355432,0.505759785,1,Free State
2013,FS183,0.9998662931,0.672778524,1,Free State
2013,FS184,0.9915045458,0.68203028,1,Free State
2013,FS185,0.9985208533,0.637097948,1,Free State
2013,FS191,0.99775247,0.595088218,1,Free State
2013,FS192,0.9999527753,0.612852174,1,Free State
2013,FS193,0.9856994079,0.584591869,1,Free State
2013,FS194,0.999950253,0.512304692,1,Free State
2013,FS195,0.9943221017,0.548109908,1,Free State
2013,FS196,0.9973299462,0.638870691,1,Free State
2013,FS201,0.9978032127,0.693923669,1,Free State
2013,FS203,0.9985338313,0.648358414,1,Free State
2013,FS204,0.9977713351,0.662229781,1,Free State
2013,FS205,0.9991844324,0.634771649,1,Free State
2013,GT421,0.9998195337,0.720121079,1,Gauteng
2013,GT422,0.9996723315,0.631948647,1,Gauteng
2013,GT423,0.9998483604,0.677683671,1,Gauteng
2013,GT481,0.9998638041,0.674589613,1,Gauteng
2013,GT482,0.9995637826,0.654573095,1,Gauteng
2013,GT483,0.9998128426,0.506422704,1,Gauteng
2013,GT484,0.999866493,0.633095269,1,Gauteng
2013,JHB,0.999968681,0.705571209,1,Gauteng
2013,KZN211,0.9971734407,0.137627185,2,KwaZulu-Natal
2013,KZN212,0.999398543,0.423631368,2,KwaZulu-Natal
2013,KZN214,0.9999273482,0.195796584,2,KwaZulu-Natal
2013,KZN215,0.9985957378,0.230456816,2,KwaZulu-Natal
2013,KZN216,0.9998092724,0.40163107,2,KwaZulu-Natal
2013,KZN221,0.9997167269,0.34780786,2,KwaZulu-Natal
2013,KZN222,0.9999239188,0.605455865,1,KwaZulu-Natal
2013,KZN223,0.9987366738,0.396058203,2,KwaZulu-Natal
2013,KZN224,0.9999858113,0.269331163,2,KwaZulu-Natal
2013,KZN225,1.0,0.601191534,1,KwaZulu-Natal
2013,KZN226,0.9998860813,0.318003798,2,KwaZulu-Natal
2013,KZN227,0.9994036719,0.308575322,2,KwaZulu-Natal
2013,KZN232,0.9999377776,0.464493907,2,KwaZulu-Natal
2013,KZN233,0.9999997583,0.267951237,2,KwaZulu-Natal
2013,KZN234,0.9998407539,0.393888628,2,KwaZulu-Natal
2013,KZN235,0.9991746403,0.223229441,2,KwaZulu-Natal
2013,KZN236,0.9939036827,0.168681049,2,KwaZulu-Natal
2013,KZN241,0.9999302334,0.55602243,1,KwaZulu-Natal
2013,KZN242,1.0,0.230998403,2,KwaZulu-Natal
2013,KZN244,0.9967922418,0.108787589,2,KwaZulu-Natal
2013,KZN245,1.0,0.237195056,2,KwaZulu-Natal
2013,KZN252,0.9986340462,0.590119459,1,KwaZulu-Natal
2013,KZN253,0.9996306093,0.226222423,2,KwaZulu-Natal
2013,KZN254,0.9990503382,0.319387383,2,KwaZulu-Natal
2013,KZN261,0.9931450461,0.290111406,2,KwaZulu-Natal
2013,KZN262,0.9986571201,0.303892511,2,KwaZulu-Natal
2013,KZN263,0.999991229,0.429414515,2,KwaZulu-Natal
2013,KZN265,0.9982245279,0.250833701,2,KwaZulu-Natal
2013,KZN266,0.9996447241,0.318480203,2,KwaZulu-Natal
